iter	Passed	Remaining
0	127	127125
1	128	64217
2	129	43106
3	131	32636
4	132	26438
5	134	22220
6	135	19187
7	136	16913
8	137	15176
9	139	13765
10	140	12601
11	141	11636
12	142	10819
13	144	10160
14	145	9555
15	146	9016
16	147	8541
17	148	8124
18	150	7745
19	151	7403
20	152	7103
21	153	6823
22	154	6576
23	156	6350
24	157	6140
25	158	5951
26	160	5774
27	161	5603
28	162	5439
29	163	5287
30	164	5146
31	165	5013
32	166	4891
33	167	4772
34	169	4663
35	170	4558
36	171	4461
37	172	4368
38	173	4280
39	174	4194
40	175	4111
41	177	4039
42	178	3969
43	179	3897
44	180	3829
45	181	3763
46	182	3701
47	183	3643
48	184	3588
49	185	3533
50	187	3479
51	188	3428
52	189	3385
53	190	3338
54	191	3292
55	192	3247
56	193	3203
57	194	3164
58	195	3124
59	197	3086
60	198	3052
61	199	3016
62	200	2986
63	201	2953
64	203	2926
65	204	2894
66	205	2865
67	206	2836
68	208	2809
69	209	2781
70	210	2754
71	211	2725
72	212	2700
73	213	2676
74	214	2651
75	216	2627
76	217	2603
77	218	2581
78	219	2559
79	220	2539
80	222	2520
81	223	2500
82	223	2474
83	225	2454
84	226	2434
85	227	2415
86	228	2396
87	229	2377
88	230	2360
89	231	2345
90	233	2333
91	234	2316
92	236	2301
93	237	2287
94	238	2271
95	239	2258
96	241	2243
97	242	2228
98	243	2214
99	244	2202
100	245	2188
101	247	2174
102	248	2162
103	249	2149
104	250	2137
105	251	2123
106	252	2110
107	254	2097
108	255	2086
109	256	2074
110	257	2061
111	258	2049
112	259	2039
113	261	2031
114	262	2020
115	263	2009
116	264	1996
117	265	1986
118	267	1977
119	268	1968
120	269	1958
121	270	1946
122	271	1935
123	272	1926
124	273	1917
125	275	1911
126	276	1901
127	277	1892
128	279	1884
129	280	1875
130	281	1866
131	282	1859
132	284	1853
133	285	1845
134	286	1837
135	287	1828
136	289	1826
137	291	1820
138	292	1811
139	293	1802
140	294	1793
141	295	1784
142	296	1776
143	297	1769
144	299	1763
145	300	1756
146	301	1747
147	302	1739
148	303	1734
149	304	1728
150	306	1722
151	307	1716
152	308	1709
153	309	1702
154	310	1694
155	312	1688
156	313	1680
157	314	1675
158	315	1668
159	316	1661
160	317	1653
161	318	1648
162	319	1642
163	321	1637
164	322	1632
165	323	1625
166	324	1618
167	325	1612
168	327	1609
169	328	1604
170	329	1598
171	330	1592
172	332	1587
173	333	1584
174	335	1581
175	336	1576
176	337	1570
177	338	1565
178	339	1559
179	341	1554
180	342	1549
181	343	1543
182	344	1538
183	345	1533
184	346	1527
185	347	1522
186	349	1517
187	350	1512
188	351	1507
189	352	1501
190	353	1496
191	354	1491
192	355	1486
193	356	1481
194	357	1476
195	358	1471
196	359	1465
197	360	1460
198	361	1456
199	363	1452
200	364	1448
201	365	1443
202	366	1438
203	367	1434
204	368	1430
205	369	1425
206	371	1422
207	372	1417
208	373	1412
209	374	1407
210	375	1403
211	376	1399
212	377	1395
213	378	1391
214	380	1387
215	381	1383
216	382	1378
217	383	1374
218	384	1369
219	385	1365
220	386	1362
221	387	1358
222	388	1354
223	389	1350
224	391	1347
225	392	1343
226	393	1339
227	394	1336
228	395	1332
229	397	1329
230	398	1326
231	399	1322
232	400	1318
233	401	1313
234	402	1309
235	403	1306
236	404	1302
237	405	1299
238	407	1297
239	408	1293
240	409	1289
241	410	1285
242	411	1282
243	412	1278
244	413	1275
245	414	1271
246	415	1267
247	416	1263
248	417	1259
249	418	1256
250	420	1253
251	421	1250
252	422	1247
253	423	1244
254	424	1241
255	425	1237
256	427	1234
257	428	1231
258	429	1228
259	430	1224
260	431	1221
261	432	1217
262	433	1214
263	434	1212
264	435	1209
265	437	1206
266	438	1203
267	439	1199
268	440	1196
269	441	1193
270	442	1190
271	443	1187
272	444	1184
273	445	1180
274	446	1177
275	447	1174
276	448	1171
277	450	1169
278	451	1166
279	452	1164
